product_id,name,category_id,supplier_id,price,stock_quantity,barcode,created_at
1,"Red Apple",1,1,0.75,100,BARCODE001,"2025-04-07 16:44:11"
2,Banana,1,2,0.50,150,BARCODE002,"2025-04-07 16:44:11"
3,Orange,1,1,0.80,120,BARCODE003,"2025-04-07 16:44:11"
4,Carrot,2,3,0.40,200,BARCODE004,"2025-04-07 16:44:11"
5,Broccoli,2,4,1.20,180,BARCODE005,"2025-04-07 16:44:11"
6,"Whole Milk",3,10,2.50,90,BARCODE006,"2025-04-07 16:44:11"
7,"Cheddar Cheese",3,10,3.00,80,BARCODE007,"2025-04-07 16:44:11"
8,"Chicken Breast",4,11,5.00,70,BARCODE008,"2025-04-07 16:44:11"
9,"Beef Steak",4,12,10.00,50,BARCODE009,"2025-04-07 16:44:11"
10,Baguette,5,12,1.50,130,BARCODE010,"2025-04-07 16:44:11"
11,"Orange Juice",6,13,2.00,110,BARCODE011,"2025-04-07 16:44:11"
12,"Potato Chips",7,13,1.25,140,BARCODE012,"2025-04-07 16:44:11"
13,"Ice Cream",8,14,3.50,60,BARCODE013,"2025-04-07 16:44:11"
14,Shrimp,9,9,12.00,40,BARCODE014,"2025-04-07 16:44:11"
15,"Salmon Fillet",9,9,15.00,35,BARCODE015,"2025-04-07 16:44:11"
16,"Organic Spinach",10,15,2.20,75,BARCODE016,"2025-04-07 16:44:11"
17,"Tomato Ketchup",11,16,1.80,95,BARCODE017,"2025-04-07 16:44:11"
18,"Corn Flakes",12,18,3.00,85,BARCODE018,"2025-04-07 16:44:11"
19,"Raw Almonds",13,7,6.50,65,BARCODE019,"2025-04-07 16:44:11"
20,"Brown Rice",16,17,4.00,100,BARCODE020,"2025-04-07 16:44:11"
21,"Chocolate Bar",17,2,1.00,200,BARCODE021,"2025-04-07 16:44:11"
22,Spaghetti,15,21,2.75,120,BARCODE022,"2025-04-07 16:44:11"
23,"Basmati Rice",16,22,5.50,80,BARCODE023,"2025-04-07 16:44:11"
24,"Strawberry Yogurt",3,10,1.20,150,BARCODE024,"2025-04-07 16:44:11"
25,"Granola Bar",7,13,0.95,175,BARCODE025,"2025-04-07 16:44:11"
26,Lemonade,6,2,1.50,140,BARCODE026,"2025-04-07 16:44:11"
27,"Crunchy Chips",7,13,1.30,160,BARCODE027,"2025-04-07 16:44:11"
28,"Vanilla Ice Cream",8,14,3.75,70,BARCODE028,"2025-04-07 16:44:11"
29,"Eggs (Dozen)",3,10,2.20,90,BARCODE029,"2025-04-07 16:44:11"
30,"Green Tea",6,13,2.00,130,BARCODE030,"2025-04-07 16:44:11"
